10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.163.0.128,Заявка № 55062,Mikrotik Wireless 60G,
 10.163.0.52,Заявка № 55062,Mikrotik Wireless 60G,
10.135.0.156,Заявка № 48039 58320,Mikrotik Wireless 60G,
10.135.0.157,Заявка № 48039 58320,Mikrotik Wireless 60G,
10.135.0.183,Заявка № 48039 64800,Mikrotik Wireless 60G,
10.135.0.188,Заявка № 48039 64800,Mikrotik Wireless 60G,
10.135.0.197,Заявка № 48039 62640,Mikrotik Wireless 60G,
10.135.0.199,Заявка № 48039 62640,Mikrotik Wireless 60G,
10.132.0.42,Резерв,Mikrotik Wireless 60G,
10.132.0.41,резерв для технической 13,Mikrotik Wireless 60G,
10.138.0.43,,Mikrotik Wireless 60G,
10.138.0.53,,Mikrotik Wireless 60G,
10.143.0.90,,Mikrotik Wireless 60G,
10.143.0.111,,Mikrotik Wireless 60G,
10.148.0.44,58320,Mikrotik Wireless 60G,
